,method_call,delay
304,11273100.0,0.0
305,11207800.0,0.0
306,11037300.0,0.0
307,11045600.0,0.0
308,11009900.0,0.0
309,11209200.0,0.0
310,11718300.0,0.0
311,11253500.0,0.0
312,11420400.0,0.0
313,11700800.0,0.0
314,11377600.0,0.0
315,11281900.0,0.0
316,11669500.0,0.0
317,11564000.0,0.0
318,11425700.0,0.0
319,11551700.0,0.0
320,11559500.0,0.0
321,11242800.0,0.0
322,11205000.0,0.0
323,11333700.0,0.0
324,11398800.0,0.0
325,11242400.0,0.0
326,11389400.0,0.0
327,11419500.0,0.0
328,11547600.0,0.0
329,11159100.0,0.0
330,11112300.0,0.0
331,11300000.0,0.0
332,11218900.0,0.0
333,11462300.0,0.0
334,11164400.0,0.0
335,11468000.0,0.0
336,11343300.0,0.0
337,11142400.0,0.0
338,11272900.0,0.0
339,10914900.0,0.0
340,11109700.0,0.0
341,11326600.0,0.0
342,11105400.0,0.0
343,11383900.0,0.0
344,11375500.0,0.0
345,10964100.0,0.0
346,11347200.0,0.0
347,11126100.0,0.0
348,11211800.0,0.0
349,11290700.0,0.0
350,11507000.0,0.0
351,12089300.0,0.0
352,11216400.0,0.0
353,11385900.0,0.0
354,11283000.0,0.0
355,11371000.0,0.0
356,11254600.0,0.0
357,11646700.0,0.0
358,11319200.0,0.0
359,11536400.0,0.0
360,11124700.0,0.0
361,11150600.0,0.0
362,11071900.0,0.0
363,11107900.0,0.0
364,11212200.0,0.0
365,11556300.0,0.0
366,11561200.0,0.0
367,10890300.0,0.0
368,11490800.0,0.0
369,11265600.0,0.0
370,11372800.0,0.0
371,11367500.0,0.0
372,11643600.0,0.0
373,11399900.0,0.0
374,11440400.0,0.0
375,11531500.0,0.0
376,11353200.0,0.0
377,11160200.0,0.0
378,11241400.0,0.0
379,11288200.0,0.0
380,11504900.0,0.0
381,11542400.0,0.0
382,11406700.0,0.0
383,11204400.0,0.0
384,11108800.0,0.0
385,11382700.0,0.0
386,11263400.0,0.0
387,11113400.0,0.0
388,11214800.0,0.0
389,10972300.0,0.0
390,11316700.0,0.0
391,11167100.0,0.0
392,11293600.0,0.0
393,11343300.0,0.0
394,11143500.0,0.0
395,11226000.0,0.0
396,11779800.0,0.0
397,11940100.0,0.0
398,11235500.0,0.0
399,11352600.0,0.0
400,11362200.0,0.0
401,11323300.0,0.0
402,11557200.0,0.0
403,11578600.0,0.0
404,11292200.0,0.0
405,10958400.0,0.0
406,11090500.0,0.0
407,11463500.0,0.0
408,11325000.0,0.0
409,11246200.0,0.0
410,10955300.0,0.0
411,11106600.0,0.0
412,11262300.0,0.0
413,11503000.0,0.0
414,11195000.0,0.0
415,11373600.0,0.0
416,11325400.0,0.0
417,11355700.0,0.0
418,11579900.0,0.0
419,12222000.0,0.0
420,11540300.0,0.0
421,11599800.0,0.0
422,11399000.0,0.0
423,11753400.0,0.0
424,11283700.0,0.0
425,11299900.0,0.0
426,11263000.0,0.0
427,11072100.0,0.0
428,11480100.0,0.0
429,11270000.0,0.0
430,11045800.0,0.0
431,11151400.0,0.0
432,11486800.0,0.0
433,11385500.0,0.0
434,11407000.0,0.0
435,11312300.0,0.0
436,11500900.0,0.0
437,11397100.0,0.0
438,11557800.0,0.0
439,11715500.0,0.0
440,11259300.0,0.0
441,11327200.0,0.0
442,11175500.0,0.0
443,11430700.0,0.0
444,11590700.0,0.0
445,12013800.0,0.0
446,11137400.0,0.0
447,11057900.0,0.0
448,11557100.0,0.0
449,11383700.0,0.0
450,11162800.0,0.0
451,11446900.0,0.0
452,11280000.0,0.0
453,11727600.0,0.0
454,11493900.0,0.0
455,11269800.0,0.0
456,11331600.0,0.0
457,11612100.0,0.0
458,11123700.0,0.0
459,11130600.0,0.0
460,10846300.0,0.0
461,11115600.0,0.0
462,11837700.0,0.0
463,11398300.0,0.0
464,11096600.0,0.0
465,11400500.0,0.0
466,11992600.0,0.0
467,11452700.0,0.0
468,11108100.0,0.0
469,11782100.0,0.0
470,11383700.0,0.0
471,11244500.0,0.0
472,11330600.0,0.0
473,11153700.0,0.0
474,11477400.0,0.0
475,11469700.0,0.0
476,11366900.0,0.0
477,11073200.0,0.0
478,11268500.0,0.0
479,11290000.0,0.0
480,11170000.0,0.0
481,11235100.0,0.0
482,11395900.0,0.0
483,11383200.0,0.0
484,11076200.0,0.0
485,11108900.0,0.0
486,11713700.0,0.0
487,11637600.0,0.0
488,11159100.0,0.0
489,11484000.0,0.0
490,11701500.0,0.0
491,11112500.0,0.0
492,11402600.0,0.0
493,11533500.0,0.0
494,11519200.0,0.0
495,11141700.0,0.0
496,11362800.0,0.0
497,11296100.0,0.0
498,11491100.0,0.0
499,11446700.0,0.0
