,write_value,delay
168,5607200.0,0.0
169,5745300.0,0.0
170,5228800.0,0.0
171,5173500.0,0.0
172,5461500.0,0.0
173,5537100.0,0.0
174,5382400.0,0.0
175,5566600.0,0.0
176,5384900.0,0.0
177,5210500.0,0.0
178,5251800.0,0.0
179,5409300.0,0.0
180,5249800.0,0.0
181,5178800.0,0.0
182,5270300.0,0.0
183,5532000.0,0.0
184,5262200.0,0.0
185,5115600.0,0.0
186,5153100.0,0.0
187,5100300.0,0.0
188,5095700.0,0.0
189,5469900.0,0.0
190,5347600.0,0.0
191,5324600.0,0.0
192,5359600.0,0.0
193,5259100.0,0.0
194,5548000.0,0.0
195,5292200.0,0.0
196,5261900.0,0.0
197,5324600.0,0.0
198,5700000.0,0.0
199,5233800.0,0.0
200,5261400.0,0.0
201,5599700.0,0.0
202,5261800.0,0.0
203,5115300.0,0.0
204,5291600.0,0.0
205,5158700.0,0.0
206,5107000.0,0.0
207,5327300.0,0.0
208,5147400.0,0.0
209,5163400.0,0.0
210,5156800.0,0.0
211,5308000.0,0.0
212,5200000.0,0.0
213,5536900.0,0.0
214,5470400.0,0.0
215,5218000.0,0.0
216,5735500.0,0.0
217,5303500.0,0.0
218,5107100.0,0.0
219,5541600.0,0.0
220,5354100.0,0.0
221,5140400.0,0.0
222,5677300.0,0.0
223,5318900.0,0.0
224,5220300.0,0.0
225,5198300.0,0.0
226,5498700.0,0.0
227,5119400.0,0.0
228,5349300.0,0.0
229,5329900.0,0.0
230,5187000.0,0.0
231,5434000.0,0.0
232,5452400.0,0.0
233,5474200.0,0.0
234,5323500.0,0.0
235,5244500.0,0.0
236,5285400.0,0.0
237,5367300.0,0.0
238,5463500.0,0.0
239,5344400.0,0.0
240,5482800.0,0.0
241,5308300.0,0.0
242,5141700.0,0.0
243,5279400.0,0.0
244,5590100.0,0.0
245,5251700.0,0.0
246,5438100.0,0.0
247,5740200.0,0.0
248,5250100.0,0.0
249,5308000.0,0.0
250,5573900.0,0.0
251,5141600.0,0.0
252,5358500.0,0.0
253,5209700.0,0.0
254,5292400.0,0.0
255,5265900.0,0.0
256,5196600.0,0.0
257,5068800.0,0.0
258,5521600.0,0.0
259,5301800.0,0.0
260,5267600.0,0.0
261,5275900.0,0.0
262,5360300.0,0.0
263,5391600.0,0.0
264,5481800.0,0.0
265,5229600.0,0.0
266,5166000.0,0.0
267,5328400.0,0.0
268,5229900.0,0.0
269,5564300.0,0.0
270,5327200.0,0.0
271,5428400.0,0.0
272,5715500.0,0.0
273,5459100.0,0.0
274,5400800.0,0.0
275,5440500.0,0.0
276,5466300.0,0.0
277,5222900.0,0.0
278,5613900.0,0.0
279,5418100.0,0.0
280,5284700.0,0.0
281,5442500.0,0.0
282,6032700.0,0.0
283,5438800.0,0.0
284,5870900.0,0.0
285,5601000.0,0.0
286,5333100.0,0.0
287,5812700.0,0.0
288,5343400.0,0.0
289,5165500.0,0.0
290,5626500.0,0.0
291,5300500.0,0.0
292,5474500.0,0.0
293,5796900.0,0.0
294,5488100.0,0.0
295,5169600.0,0.0
296,5520500.0,0.0
297,5384000.0,0.0
298,5519900.0,0.0
299,5376400.0,0.0
300,5580600.0,0.0
301,5145900.0,0.0
302,5319800.0,0.0
303,5269900.0,0.0
304,5218500.0,0.0
305,5263800.0,0.0
306,5282400.0,0.0
307,5308900.0,0.0
308,5334200.0,0.0
309,5329700.0,0.0
310,5275400.0,0.0
311,5497300.0,0.0
312,5236700.0,0.0
313,5303100.0,0.0
314,5508600.0,0.0
315,5397000.0,0.0
316,5490900.0,0.0
317,5427800.0,0.0
318,5365000.0,0.0
319,5452600.0,0.0
320,5289200.0,0.0
321,5532000.0,0.0
