,datachange_notifications,period,queuesize,change_int
305,12599900,10.0,1.0,10.0
306,12675400,10.0,1.0,10.0
307,12048300,10.0,1.0,10.0
308,13083500,10.0,1.0,10.0
309,12065500,10.0,1.0,10.0
310,12622700,10.0,1.0,10.0
311,12913000,10.0,1.0,10.0
312,13876700,10.0,1.0,10.0
313,10954000,10.0,1.0,10.0
314,12231500,10.0,1.0,10.0
315,12709800,10.0,1.0,10.0
316,14149300,10.0,1.0,10.0
317,10476500,10.0,1.0,10.0
318,12288500,10.0,1.0,10.0
319,12375200,10.0,1.0,10.0
320,12120300,10.0,1.0,10.0
321,12540200,10.0,1.0,10.0
322,12218900,10.0,1.0,10.0
323,13198300,10.0,1.0,10.0
324,11355200,10.0,1.0,10.0
325,12774100,10.0,1.0,10.0
326,12377600,10.0,1.0,10.0
327,12914000,10.0,1.0,10.0
328,12536000,10.0,1.0,10.0
329,13158600,10.0,1.0,10.0
330,12656500,10.0,1.0,10.0
331,13139000,10.0,1.0,10.0
332,14314100,10.0,1.0,10.0
333,9985400,10.0,1.0,10.0
334,13465100,10.0,1.0,10.0
335,12310100,10.0,1.0,10.0
336,13806500,10.0,1.0,10.0
337,11563000,10.0,1.0,10.0
338,12599400,10.0,1.0,10.0
339,12365500,10.0,1.0,10.0
340,14082200,10.0,1.0,10.0
341,11557500,10.0,1.0,10.0
342,12925300,10.0,1.0,10.0
343,13538700,10.0,1.0,10.0
344,12318200,10.0,1.0,10.0
345,12057400,10.0,1.0,10.0
346,13087600,10.0,1.0,10.0
347,12811300,10.0,1.0,10.0
348,13309600,10.0,1.0,10.0
349,12270600,10.0,1.0,10.0
350,13395100,10.0,1.0,10.0
351,13203200,10.0,1.0,10.0
352,12204400,10.0,1.0,10.0
353,14221200,10.0,1.0,10.0
354,10380600,10.0,1.0,10.0
355,12960700,10.0,1.0,10.0
356,13003300,10.0,1.0,10.0
357,13975800,10.0,1.0,10.0
358,11724700,10.0,1.0,10.0
359,12844200,10.0,1.0,10.0
360,13279400,10.0,1.0,10.0
361,14218800,10.0,1.0,10.0
362,14107100,10.0,1.0,10.0
363,13302100,10.0,1.0,10.0
364,12186800,10.0,1.0,10.0
365,13852900,10.0,1.0,10.0
366,14753000,10.0,1.0,10.0
367,13315800,10.0,1.0,10.0
368,10880700,10.0,1.0,10.0
369,13194300,10.0,1.0,10.0
370,13074900,10.0,1.0,10.0
371,13957400,10.0,1.0,10.0
372,11256900,10.0,1.0,10.0
373,12147700,10.0,1.0,10.0
374,13076900,10.0,1.0,10.0
375,13342400,10.0,1.0,10.0
376,11812700,10.0,1.0,10.0
377,13428400,10.0,1.0,10.0
378,11619400,10.0,1.0,10.0
379,13220500,10.0,1.0,10.0
380,12134600,10.0,1.0,10.0
381,11787600,10.0,1.0,10.0
382,13142600,10.0,1.0,10.0
383,13044500,10.0,1.0,10.0
384,15280100,10.0,1.0,10.0
385,10259800,10.0,1.0,10.0
386,13148500,10.0,1.0,10.0
387,13291300,10.0,1.0,10.0
388,13239900,10.0,1.0,10.0
389,11608500,10.0,1.0,10.0
390,13363200,10.0,1.0,10.0
391,12446600,10.0,1.0,10.0
392,13120100,10.0,1.0,10.0
393,11501100,10.0,1.0,10.0
394,12081200,10.0,1.0,10.0
395,13012100,10.0,1.0,10.0
396,13746600,10.0,1.0,10.0
397,12476800,10.0,1.0,10.0
398,11943400,10.0,1.0,10.0
399,13099900,10.0,1.0,10.0
400,12657100,10.0,1.0,10.0
401,12517600,10.0,1.0,10.0
402,12098500,10.0,1.0,10.0
403,12891100,10.0,1.0,10.0
404,13216600,10.0,1.0,10.0
405,12559400,10.0,1.0,10.0
406,12369400,10.0,1.0,10.0
407,12847500,10.0,1.0,10.0
408,13148800,10.0,1.0,10.0
409,12364300,10.0,1.0,10.0
410,12306900,10.0,1.0,10.0
411,12972500,10.0,1.0,10.0
412,12794700,10.0,1.0,10.0
413,13986900,10.0,1.0,10.0
414,11878300,10.0,1.0,10.0
415,12794400,10.0,1.0,10.0
416,13028000,10.0,1.0,10.0
417,12898600,10.0,1.0,10.0
418,12175600,10.0,1.0,10.0
419,13027300,10.0,1.0,10.0
420,13147800,10.0,1.0,10.0
421,13443300,10.0,1.0,10.0
422,13912400,10.0,1.0,10.0
423,12413800,10.0,1.0,10.0
424,13242200,10.0,1.0,10.0
425,13767700,10.0,1.0,10.0
426,13550000,10.0,1.0,10.0
427,14786400,10.0,1.0,10.0
428,12802200,10.0,1.0,10.0
429,13723800,10.0,1.0,10.0
430,12955800,10.0,1.0,10.0
431,13431500,10.0,1.0,10.0
432,13094800,10.0,1.0,10.0
433,11552600,10.0,1.0,10.0
434,12981300,10.0,1.0,10.0
435,13441500,10.0,1.0,10.0
436,12862500,10.0,1.0,10.0
437,12125600,10.0,1.0,10.0
438,13136500,10.0,1.0,10.0
439,12604000,10.0,1.0,10.0
440,13624000,10.0,1.0,10.0
441,12853700,10.0,1.0,10.0
442,12042500,10.0,1.0,10.0
443,13349800,10.0,1.0,10.0
444,11591300,10.0,1.0,10.0
445,13973300,10.0,1.0,10.0
446,12750200,10.0,1.0,10.0
447,11845200,10.0,1.0,10.0
448,13402300,10.0,1.0,10.0
449,13024000,10.0,1.0,10.0
450,10877700,10.0,1.0,10.0
451,13851900,10.0,1.0,10.0
452,12308000,10.0,1.0,10.0
453,13000100,10.0,1.0,10.0
454,11252900,10.0,1.0,10.0
455,13093700,10.0,1.0,10.0
456,13298000,10.0,1.0,10.0
457,13363500,10.0,1.0,10.0
458,12319600,10.0,1.0,10.0
459,12681300,10.0,1.0,10.0
460,11852700,10.0,1.0,10.0
461,13584300,10.0,1.0,10.0
462,12443000,10.0,1.0,10.0
463,12755300,10.0,1.0,10.0
464,11783200,10.0,1.0,10.0
465,13073300,10.0,1.0,10.0
466,11785400,10.0,1.0,10.0
467,13277100,10.0,1.0,10.0
468,12888800,10.0,1.0,10.0
469,12592800,10.0,1.0,10.0
470,13312600,10.0,1.0,10.0
471,12403800,10.0,1.0,10.0
472,12005500,10.0,1.0,10.0
473,13540300,10.0,1.0,10.0
474,12339300,10.0,1.0,10.0
475,11994600,10.0,1.0,10.0
476,12833600,10.0,1.0,10.0
477,14087300,10.0,1.0,10.0
478,12340700,10.0,1.0,10.0
479,12799800,10.0,1.0,10.0
480,12462400,10.0,1.0,10.0
481,12208000,10.0,1.0,10.0
482,13909400,10.0,1.0,10.0
483,10981700,10.0,1.0,10.0
484,13134300,10.0,1.0,10.0
485,12741400,10.0,1.0,10.0
486,13465600,10.0,1.0,10.0
487,13955600,10.0,1.0,10.0
488,12994800,10.0,1.0,10.0
489,12597200,10.0,1.0,10.0
490,13242900,10.0,1.0,10.0
491,14195000,10.0,1.0,10.0
492,13732700,10.0,1.0,10.0
493,12028900,10.0,1.0,10.0
494,13168200,10.0,1.0,10.0
495,11692000,10.0,1.0,10.0
496,13375000,10.0,1.0,10.0
497,12186100,10.0,1.0,10.0
498,12897100,10.0,1.0,10.0
499,13284000,10.0,1.0,10.0
500,12271000,10.0,1.0,10.0
501,12606200,10.0,1.0,10.0
502,12253600,10.0,1.0,10.0
503,12373700,10.0,1.0,10.0
504,13184000,10.0,1.0,10.0
505,11168400,10.0,1.0,10.0
506,13121600,10.0,1.0,10.0
507,13488900,10.0,1.0,10.0
508,12640100,10.0,1.0,10.0
509,12514500,10.0,1.0,10.0
510,12789300,10.0,1.0,10.0
511,11557900,10.0,1.0,10.0
512,13740900,10.0,1.0,10.0
513,12246000,10.0,1.0,10.0
514,12534000,10.0,1.0,10.0
515,11951800,10.0,1.0,10.0
516,13910400,10.0,1.0,10.0
517,11318400,10.0,1.0,10.0
518,12151900,10.0,1.0,10.0
519,12757800,10.0,1.0,10.0
520,13971200,10.0,1.0,10.0
521,11378500,10.0,1.0,10.0
522,12277000,10.0,1.0,10.0
523,12610400,10.0,1.0,10.0
524,13971900,10.0,1.0,10.0
525,12324000,10.0,1.0,10.0
526,12609500,10.0,1.0,10.0
527,13036100,10.0,1.0,10.0
528,16131500,10.0,1.0,10.0
529,10452400,10.0,1.0,10.0
530,12244000,10.0,1.0,10.0
531,13789300,10.0,1.0,10.0
532,13101500,10.0,1.0,10.0
533,13855600,10.0,1.0,10.0
534,13826300,10.0,1.0,10.0
535,11092200,10.0,1.0,10.0
536,13135100,10.0,1.0,10.0
537,13240400,10.0,1.0,10.0
538,13439500,10.0,1.0,10.0
539,11655200,10.0,1.0,10.0
540,12433500,10.0,1.0,10.0
541,12062900,10.0,1.0,10.0
542,15199500,10.0,1.0,10.0
543,11068500,10.0,1.0,10.0
544,12153400,10.0,1.0,10.0
545,12630300,10.0,1.0,10.0
546,13253500,10.0,1.0,10.0
547,11973200,10.0,1.0,10.0
548,12526000,10.0,1.0,10.0
549,13481200,10.0,1.0,10.0
550,14285000,10.0,1.0,10.0
551,13259500,10.0,1.0,10.0
552,13076600,10.0,1.0,10.0
553,13013400,10.0,1.0,10.0
554,13296300,10.0,1.0,10.0
555,13670400,10.0,1.0,10.0
556,14580900,10.0,1.0,10.0
557,13022400,10.0,1.0,10.0
558,12727700,10.0,1.0,10.0
559,13215100,10.0,1.0,10.0
560,13153100,10.0,1.0,10.0
561,15426700,10.0,1.0,10.0
562,11699000,10.0,1.0,10.0
563,12339300,10.0,1.0,10.0
564,13334500,10.0,1.0,10.0
565,13014700,10.0,1.0,10.0
566,13791200,10.0,1.0,10.0
567,10754900,10.0,1.0,10.0
568,13121000,10.0,1.0,10.0
569,14025400,10.0,1.0,10.0
570,12817500,10.0,1.0,10.0
571,11511600,10.0,1.0,10.0
572,13426400,10.0,1.0,10.0
573,11876700,10.0,1.0,10.0
574,13917300,10.0,1.0,10.0
575,12746200,10.0,1.0,10.0
576,12472000,10.0,1.0,10.0
577,13585100,10.0,1.0,10.0
578,12462200,10.0,1.0,10.0
579,12408500,10.0,1.0,10.0
580,12455400,10.0,1.0,10.0
581,13063600,10.0,1.0,10.0
582,12562200,10.0,1.0,10.0
583,12629700,10.0,1.0,10.0
584,11926100,10.0,1.0,10.0
585,12873500,10.0,1.0,10.0
586,12979400,10.0,1.0,10.0
587,14264600,10.0,1.0,10.0
588,11048900,10.0,1.0,10.0
589,13111600,10.0,1.0,10.0
590,12900900,10.0,1.0,10.0
591,13821300,10.0,1.0,10.0
592,12096100,10.0,1.0,10.0
593,12630100,10.0,1.0,10.0
594,13826600,10.0,1.0,10.0
595,12156400,10.0,1.0,10.0
596,14167700,10.0,1.0,10.0
597,11136200,10.0,1.0,10.0
598,12836200,10.0,1.0,10.0
599,12995900,10.0,1.0,10.0
600,14603400,10.0,1.0,10.0
601,11687600,10.0,1.0,10.0
602,12570900,10.0,1.0,10.0
603,11708200,10.0,1.0,10.0
604,14209700,10.0,1.0,10.0
605,11461800,10.0,1.0,10.0
606,12521000,10.0,1.0,10.0
607,13147000,10.0,1.0,10.0
608,13080100,10.0,1.0,10.0
609,12318000,10.0,1.0,10.0
610,12327900,10.0,1.0,10.0
611,13487300,10.0,1.0,10.0
612,12337600,10.0,1.0,10.0
613,12261800,10.0,1.0,10.0
614,12465900,10.0,1.0,10.0
615,12689000,10.0,1.0,10.0
616,12515000,10.0,1.0,10.0
