,write_value,method_call
307,12847000.0,23290600.0
308,10797300.0,19599600.0
309,10875400.0,21235300.0
310,14914800.0,21816600.0
311,14871600.0,21631100.0
312,10938100.0,19285600.0
313,10041200.0,19219900.0
314,10545900.0,19419300.0
315,10883600.0,18239800.0
316,10952400.0,18443200.0
317,11045300.0,19462300.0
318,16370600.0,19031600.0
319,10708200.0,18305900.0
320,10613400.0,18186200.0
321,10998800.0,19358300.0
322,11116200.0,25602900.0
323,9899200.0,18644900.0
324,11502900.0,17578100.0
325,16832200.0,17638600.0
326,18280500.0,20738200.0
327,13329700.0,19093100.0
328,10966300.0,19836300.0
329,11267100.0,19869400.0
330,10066900.0,18611100.0
331,10139300.0,23206300.0
332,11619400.0,25584900.0
333,12286500.0,18991400.0
334,10344600.0,19171300.0
335,10523200.0,18361000.0
336,11015000.0,25014100.0
337,10527600.0,22072900.0
338,12881800.0,74501800.0
339,13503200.0,26936100.0
340,12114500.0,19609900.0
341,18525100.0,17613000.0
342,13843000.0,20039300.0
343,12353000.0,19457700.0
344,12659100.0,20241900.0
345,11033300.0,18919200.0
346,10758900.0,17933000.0
347,10101400.0,17873100.0
348,10974500.0,19111500.0
349,10975300.0,17617700.0
350,12355500.0,18870800.0
351,11478800.0,18889200.0
352,11907100.0,19138000.0
353,11925400.0,17591300.0
354,12054200.0,19045000.0
355,13113800.0,26006000.0
356,12778700.0,18181500.0
357,10475800.0,17873000.0
358,11642200.0,18055100.0
359,11425900.0,20058600.0
360,16627600.0,22450100.0
361,11005200.0,17608900.0
362,10836300.0,18000300.0
363,10641000.0,18310000.0
364,10663100.0,19553300.0
365,11009200.0,19232500.0
366,10540500.0,18389100.0
367,10561400.0,18332500.0
368,10736100.0,18675300.0
369,16721200.0,18730700.0
370,10768900.0,21692300.0
371,10756400.0,25990700.0
372,10973000.0,18927400.0
373,10768000.0,17712200.0
374,10348800.0,18764300.0
375,11315400.0,18514500.0
376,10778400.0,24031700.0
377,10037700.0,18015700.0
378,16925300.0,18192200.0
379,10630800.0,17865600.0
380,10784500.0,24872400.0
381,10760500.0,27804700.0
382,10701200.0,19208800.0
383,10360500.0,19537900.0
384,11004400.0,18581400.0
385,10349700.0,25488600.0
386,10775300.0,23659100.0
387,16444300.0,18799900.0
388,11327200.0,18389300.0
389,10578000.0,26079100.0
390,10860100.0,21090100.0
391,11382900.0,23299400.0
