,method_call,delay
141,21783000.0,0.0
142,17754500.0,0.0
143,23422900.0,0.0
144,19509800.0,0.0
145,15639400.0,0.0
146,19572300.0,0.0
147,20357800.0,0.0
148,22274000.0,0.0
149,17458800.0,0.0
150,17734800.0,0.0
151,17839800.0,0.0
152,22740300.0,0.0
153,17936900.0,0.0
154,24252000.0,0.0
155,20483400.0,0.0
156,17941100.0,0.0
157,22086000.0,0.0
158,26360700.0,0.0
159,17897000.0,0.0
160,18372000.0,0.0
161,16930900.0,0.0
162,23045300.0,0.0
163,17188200.0,0.0
164,30055100.0,0.0
165,21066100.0,0.0
166,27362100.0,0.0
167,25395700.0,0.0
168,32103300.0,0.0
169,22782500.0,0.0
170,22804000.0,0.0
171,21044800.0,0.0
172,23738600.0,0.0
173,21385400.0,0.0
174,24397500.0,0.0
175,23501800.0,0.0
176,26023700.0,0.0
177,18373000.0,0.0
178,17150600.0,0.0
179,21657600.0,0.0
180,28597700.0,0.0
181,22889500.0,0.0
182,17221800.0,0.0
183,26414700.0,0.0
184,20575200.0,0.0
185,16750200.0,0.0
186,24171800.0,0.0
187,18889200.0,0.0
188,20789500.0,0.0
189,23901400.0,0.0
190,19075000.0,0.0
191,20982200.0,0.0
192,17471700.0,0.0
193,18034200.0,0.0
194,17323100.0,0.0
195,24613000.0,0.0
196,26573200.0,0.0
197,17376300.0,0.0
198,19218800.0,0.0
199,21989800.0,0.0
200,18419600.0,0.0
201,23511300.0,0.0
202,19201800.0,0.0
203,17513300.0,0.0
204,17557100.0,0.0
205,22528300.0,0.0
206,18052000.0,0.0
207,18398000.0,0.0
208,20373900.0,0.0
209,18618000.0,0.0
210,21230500.0,0.0
211,24054700.0,0.0
212,19983500.0,0.0
213,20973600.0,0.0
214,20654400.0,0.0
215,22531000.0,0.0
216,25747300.0,0.0
217,17620600.0,0.0
218,18902700.0,0.0
219,17060800.0,0.0
220,20352500.0,0.0
221,24036300.0,0.0
222,17310700.0,0.0
223,18108000.0,0.0
224,19452800.0,0.0
225,20302500.0,0.0
226,18630100.0,0.0
227,18105200.0,0.0
228,16679700.0,0.0
229,17875400.0,0.0
230,27822100.0,0.0
231,19670100.0,0.0
232,18433200.0,0.0
233,18942600.0,0.0
234,20947800.0,0.0
235,20298000.0,0.0
236,16663400.0,0.0
237,24664200.0,0.0
238,25944800.0,0.0
239,20987000.0,0.0
240,18907500.0,0.0
241,24576500.0,0.0
242,18235500.0,0.0
243,19732100.0,0.0
244,22721100.0,0.0
245,23024700.0,0.0
246,18437200.0,0.0
247,18238800.0,0.0
248,18661000.0,0.0
249,21938200.0,0.0
250,20952200.0,0.0
251,27703700.0,0.0
252,21177100.0,0.0
253,22166200.0,0.0
254,21599500.0,0.0
255,21135900.0,0.0
256,22768100.0,0.0
257,20410700.0,0.0
258,20089100.0,0.0
259,18785800.0,0.0
260,19606800.0,0.0
261,19904300.0,0.0
262,18226700.0,0.0
263,20464300.0,0.0
264,23985800.0,0.0
265,18676100.0,0.0
266,24647400.0,0.0
267,19641700.0,0.0
268,17858500.0,0.0
269,22734700.0,0.0
270,17737400.0,0.0
271,22583800.0,0.0
272,21954000.0,0.0
273,22385900.0,0.0
274,19414400.0,0.0
275,23572700.0,0.0
276,17077000.0,0.0
277,16546900.0,0.0
278,17439200.0,0.0
279,19502700.0,0.0
280,20464700.0,0.0
281,19175400.0,0.0
282,17043900.0,0.0
283,17391200.0,0.0
284,17960200.0,0.0
285,23195900.0,0.0
286,21104100.0,0.0
287,16730100.0,0.0
288,18160100.0,0.0
289,20699700.0,0.0
290,23399400.0,0.0
291,26885500.0,0.0
292,20869600.0,0.0
293,22158800.0,0.0
294,20621500.0,0.0
295,24852500.0,0.0
296,26931900.0,0.0
297,21970800.0,0.0
298,24450100.0,0.0
299,17114500.0,0.0
300,20361300.0,0.0
301,18777800.0,0.0
302,17738500.0,0.0
303,16574400.0,0.0
304,22739300.0,0.0
305,27653900.0,0.0
306,17276000.0,0.0
307,18075900.0,0.0
308,20961700.0,0.0
309,17703400.0,0.0
310,16612700.0,0.0
311,17748800.0,0.0
312,18800400.0,0.0
313,18176600.0,0.0
314,19537200.0,0.0
315,19378700.0,0.0
316,23208700.0,0.0
317,18640100.0,0.0
318,22179100.0,0.0
319,18867400.0,0.0
320,23870700.0,0.0
321,24519600.0,0.0
322,22792900.0,0.0
323,18599200.0,0.0
324,18636200.0,0.0
325,18286300.0,0.0
326,21960700.0,0.0
327,15991000.0,0.0
328,20984900.0,0.0
329,24194700.0,0.0
330,25492300.0,0.0
331,21403100.0,0.0
332,16726200.0,0.0
333,18830900.0,0.0
334,21400900.0,0.0
335,24036900.0,0.0
336,25558300.0,0.0
337,21812300.0,0.0
338,22543400.0,0.0
339,17568500.0,0.0
340,22037400.0,0.0
341,17707000.0,0.0
342,23663400.0,0.0
343,22532900.0,0.0
344,20208100.0,0.0
345,20280300.0,0.0
346,17283500.0,0.0
347,21615400.0,0.0
348,26622600.0,0.0
349,18246100.0,0.0
350,25355000.0,0.0
351,18855100.0,0.0
352,22470800.0,0.0
353,17291600.0,0.0
354,23061000.0,0.0
355,23047600.0,0.0
356,20400600.0,0.0
357,18306800.0,0.0
358,17827500.0,0.0
359,18323500.0,0.0
360,18914100.0,0.0
361,18455100.0,0.0
362,17394400.0,0.0
363,20207200.0,0.0
364,19931800.0,0.0
365,20055800.0,0.0
366,25056700.0,0.0
367,18628900.0,0.0
368,27270800.0,0.0
369,17759400.0,0.0
370,21826300.0,0.0
371,18146300.0,0.0
372,20707500.0,0.0
373,62239400.0,0.0
374,27551000.0,0.0
375,31363500.0,0.0
376,26146900.0,0.0
377,27400500.0,0.0
378,21653900.0,0.0
379,18148400.0,0.0
380,22632000.0,0.0
381,16737100.0,0.0
382,21210900.0,0.0
383,17465900.0,0.0
384,19893800.0,0.0
385,18526700.0,0.0
386,17558500.0,0.0
387,25602900.0,0.0
388,19957400.0,0.0
389,25843500.0,0.0
390,22416400.0,0.0
391,18554500.0,0.0
392,18722400.0,0.0
393,18840000.0,0.0
394,19074800.0,0.0
395,21407100.0,0.0
396,22039400.0,0.0
397,18063600.0,0.0
398,17285300.0,0.0
399,18359400.0,0.0
400,22437100.0,0.0
401,19982100.0,0.0
402,24225200.0,0.0
403,17158700.0,0.0
404,18031400.0,0.0
405,16804900.0,0.0
406,17436700.0,0.0
407,16386400.0,0.0
408,22425100.0,0.0
409,17315900.0,0.0
410,18389600.0,0.0
411,19931300.0,0.0
412,21490100.0,0.0
413,19822000.0,0.0
414,20291800.0,0.0
415,20591900.0,0.0
416,19903700.0,0.0
417,22401300.0,0.0
418,21255800.0,0.0
419,16658100.0,0.0
420,16709800.0,0.0
421,20356200.0,0.0
422,20488800.0,0.0
423,25591400.0,0.0
424,17314000.0,0.0
425,19195200.0,0.0
426,32381100.0,0.0
427,27400400.0,0.0
428,25821700.0,0.0
429,26993400.0,0.0
430,22446100.0,0.0
431,34644900.0,0.0
432,26936900.0,0.0
433,24209400.0,0.0
434,27374600.0,0.0
435,24889400.0,0.0
436,18134700.0,0.0
437,35241500.0,0.0
438,41112000.0,0.0
439,27649000.0,0.0
440,29557200.0,0.0
441,42440600.0,0.0
442,29834800.0,0.0
443,25561800.0,0.0
444,26425900.0,0.0
445,21745800.0,0.0
446,21690500.0,0.0
447,24161000.0,0.0
448,22732500.0,0.0
449,24640600.0,0.0
450,28134000.0,0.0
451,22631900.0,0.0
452,23092000.0,0.0
453,22092700.0,0.0
454,23002800.0,0.0
455,18332600.0,0.0
456,17903400.0,0.0
457,20106100.0,0.0
458,21034200.0,0.0
459,23960000.0,0.0
460,18012100.0,0.0
461,20668700.0,0.0
462,22272100.0,0.0
463,17553000.0,0.0
464,22728000.0,0.0
465,17828900.0,0.0
466,18840400.0,0.0
467,33101700.0,0.0
468,27692900.0,0.0
469,19862700.0,0.0
470,18733600.0,0.0
471,20154600.0,0.0
472,20779500.0,0.0
473,22302200.0,0.0
474,17905400.0,0.0
475,19405500.0,0.0
476,24540900.0,0.0
477,25245600.0,0.0
478,22694400.0,0.0
479,19905000.0,0.0
480,26205800.0,0.0
481,22364200.0,0.0
482,17585300.0,0.0
483,22723800.0,0.0
484,17912900.0,0.0
485,16718900.0,0.0
486,16726000.0,0.0
487,17285200.0,0.0
488,20060000.0,0.0
489,20303000.0,0.0
490,20238600.0,0.0
491,27541300.0,0.0
492,23309400.0,0.0
493,19404400.0,0.0
494,16966900.0,0.0
495,17716900.0,0.0
496,19679200.0,0.0
497,18310600.0,0.0
498,19219700.0,0.0
499,16829700.0,0.0
500,16602400.0,0.0
501,20826900.0,0.0
502,23343200.0,0.0
503,16382300.0,0.0
504,23367400.0,0.0
505,17993000.0,0.0
506,18829500.0,0.0
507,18302600.0,0.0
508,17541100.0,0.0
509,24505400.0,0.0
510,17900100.0,0.0
511,20367800.0,0.0
512,23181400.0,0.0
513,22998800.0,0.0
514,27471200.0,0.0
515,19844600.0,0.0
516,24274500.0,0.0
517,22690200.0,0.0
518,29937000.0,0.0
519,41281300.0,0.0
520,29757200.0,0.0
521,18577900.0,0.0
522,19110300.0,0.0
523,22746600.0,0.0
524,23508700.0,0.0
525,27472100.0,0.0
526,20303000.0,0.0
527,23270700.0,0.0
528,37581100.0,0.0
529,33959900.0,0.0
530,29037100.0,0.0
531,23460700.0,0.0
532,28609200.0,0.0
533,26533100.0,0.0
534,23030500.0,0.0
535,28646400.0,0.0
536,27417200.0,0.0
537,24120800.0,0.0
538,22114600.0,0.0
539,21458700.0,0.0
540,22937100.0,0.0
541,16495900.0,0.0
542,16704100.0,0.0
543,17198900.0,0.0
544,18801600.0,0.0
545,17096000.0,0.0
546,20630900.0,0.0
547,22817100.0,0.0
548,17295900.0,0.0
549,19769900.0,0.0
550,18055400.0,0.0
551,19647300.0,0.0
552,19062400.0,0.0
553,23962000.0,0.0
554,19142900.0,0.0
555,25389000.0,0.0
