,datachange_notifications,period,queuesize,change_int
444,12085100,10.0,1.0,10.0
445,13363400,10.0,1.0,10.0
446,12928500,10.0,1.0,10.0
447,12660400,10.0,1.0,10.0
448,11046900,10.0,1.0,10.0
449,14084900,10.0,1.0,10.0
450,12104000,10.0,1.0,10.0
451,16278200,10.0,1.0,10.0
452,12865700,10.0,1.0,10.0
453,15507000,10.0,1.0,10.0
454,12802700,10.0,1.0,10.0
455,14233200,10.0,1.0,10.0
456,19285800,10.0,1.0,10.0
457,13239600,10.0,1.0,10.0
458,12885900,10.0,1.0,10.0
459,11492100,10.0,1.0,10.0
460,10792400,10.0,1.0,10.0
461,17661000,10.0,1.0,10.0
462,17627100,10.0,1.0,10.0
463,17195100,10.0,1.0,10.0
464,12039800,10.0,1.0,10.0
465,11919700,10.0,1.0,10.0
466,11074400,10.0,1.0,10.0
467,18704600,10.0,1.0,10.0
468,10691700,10.0,1.0,10.0
469,11244900,10.0,1.0,10.0
470,11979800,10.0,1.0,10.0
471,16552600,10.0,1.0,10.0
472,11815900,10.0,1.0,10.0
473,10522600,10.0,1.0,10.0
474,13629200,10.0,1.0,10.0
475,12511700,10.0,1.0,10.0
476,21059800,10.0,1.0,10.0
477,13286200,10.0,1.0,10.0
478,11949500,10.0,1.0,10.0
479,12742400,10.0,1.0,10.0
480,13330300,10.0,1.0,10.0
481,12471800,10.0,1.0,10.0
482,13020800,10.0,1.0,10.0
483,13970600,10.0,1.0,10.0
484,15540100,10.0,1.0,10.0
485,12108800,10.0,1.0,10.0
486,16476800,10.0,1.0,10.0
487,14701100,10.0,1.0,10.0
488,12511800,10.0,1.0,10.0
489,14331700,10.0,1.0,10.0
490,14516000,10.0,1.0,10.0
491,10926600,10.0,1.0,10.0
492,14589800,10.0,1.0,10.0
493,11392500,10.0,1.0,10.0
494,16914000,10.0,1.0,10.0
495,11697800,10.0,1.0,10.0
496,11522500,10.0,1.0,10.0
497,11928900,10.0,1.0,10.0
498,13788000,10.0,1.0,10.0
499,12033400,10.0,1.0,10.0
500,16811400,10.0,1.0,10.0
501,15756000,10.0,1.0,10.0
502,12305300,10.0,1.0,10.0
503,10693900,10.0,1.0,10.0
504,12289500,10.0,1.0,10.0
505,11912100,10.0,1.0,10.0
506,13559000,10.0,1.0,10.0
507,15583200,10.0,1.0,10.0
508,12081900,10.0,1.0,10.0
509,13017200,10.0,1.0,10.0
510,13271100,10.0,1.0,10.0
511,14020500,10.0,1.0,10.0
512,19156000,10.0,1.0,10.0
513,14808300,10.0,1.0,10.0
514,12607200,10.0,1.0,10.0
515,12858200,10.0,1.0,10.0
516,15767700,10.0,1.0,10.0
517,11442600,10.0,1.0,10.0
518,13141700,10.0,1.0,10.0
519,10893300,10.0,1.0,10.0
520,11949200,10.0,1.0,10.0
521,12311700,10.0,1.0,10.0
522,11109800,10.0,1.0,10.0
523,11246300,10.0,1.0,10.0
524,11947400,10.0,1.0,10.0
525,15836500,10.0,1.0,10.0
526,16606400,10.0,1.0,10.0
527,11955900,10.0,1.0,10.0
528,10997100,10.0,1.0,10.0
529,14630500,10.0,1.0,10.0
530,13466500,10.0,1.0,10.0
531,12565900,10.0,1.0,10.0
532,16434800,10.0,1.0,10.0
533,13351800,10.0,1.0,10.0
534,12652000,10.0,1.0,10.0
535,12524900,10.0,1.0,10.0
536,14005500,10.0,1.0,10.0
