,write_value,delay
380,11828700.0,0.0
381,11145700.0,0.0
382,13168200.0,0.0
383,10403500.0,0.0
384,16973800.0,0.0
385,10837700.0,0.0
386,10448500.0,0.0
387,16993000.0,0.0
388,15016400.0,0.0
389,10279700.0,0.0
390,11555800.0,0.0
391,10405400.0,0.0
392,16642600.0,0.0
393,10319400.0,0.0
394,9161100.0,0.0
395,10355700.0,0.0
396,10935700.0,0.0
397,10289900.0,0.0
398,10511900.0,0.0
399,13358800.0,0.0
400,11378000.0,0.0
401,13937700.0,0.0
402,11704400.0,0.0
403,10265300.0,0.0
404,16753600.0,0.0
405,14846200.0,0.0
406,11418100.0,0.0
407,12193400.0,0.0
408,10778000.0,0.0
409,16381300.0,0.0
410,8981800.0,0.0
411,10683100.0,0.0
412,13801500.0,0.0
413,9802300.0,0.0
414,10044500.0,0.0
415,13961200.0,0.0
416,9868600.0,0.0
417,10543000.0,0.0
418,14725200.0,0.0
419,11301000.0,0.0
420,10237600.0,0.0
421,10719600.0,0.0
422,13294100.0,0.0
423,12486900.0,0.0
424,10005800.0,0.0
425,8944600.0,0.0
426,10553500.0,0.0
427,15060900.0,0.0
428,8658000.0,0.0
429,7950700.0,0.0
430,9105500.0,0.0
431,10371100.0,0.0
432,21606600.0,0.0
433,14323400.0,0.0
434,13123300.0,0.0
435,15421500.0,0.0
436,10297900.0,0.0
437,13129600.0,0.0
438,12631000.0,0.0
439,15854500.0,0.0
440,11921300.0,0.0
441,12987900.0,0.0
442,11101300.0,0.0
443,12023800.0,0.0
444,13505300.0,0.0
445,13259800.0,0.0
446,13416700.0,0.0
447,13472400.0,0.0
448,13078400.0,0.0
449,12446100.0,0.0
450,12873100.0,0.0
451,14292200.0,0.0
452,13336200.0,0.0
453,13096500.0,0.0
454,12054700.0,0.0
455,17587500.0,0.0
456,12173700.0,0.0
457,13379500.0,0.0
458,15200200.0,0.0
459,12795500.0,0.0
460,13072200.0,0.0
461,14501800.0,0.0
462,15512100.0,0.0
463,12131200.0,0.0
464,12729000.0,0.0
465,18884200.0,0.0
466,13353000.0,0.0
