,write_value,method_call,subscription
87,8481000.0,18908900.0,14146200.0
88,8621900.0,16385500.0,14881500.0
89,8569300.0,18414300.0,16027400.0
90,8597600.0,24146700.0,15314200.0
91,8429900.0,18362800.0,22594300.0
92,8683000.0,17292100.0,22415000.0
93,10465900.0,16977000.0,11439500.0
94,8525600.0,17111600.0,11039900.0
95,8433300.0,18587300.0,11854200.0
96,15149700.0,22189000.0,16091700.0
97,10727500.0,26829700.0,15792600.0
98,8642300.0,20006700.0,17841300.0
99,8255500.0,22063100.0,16549700.0
100,11287300.0,23855700.0,15317400.0
101,10150400.0,19223400.0,17618500.0
102,8780100.0,18469400.0,15155700.0
103,8193000.0,40673600.0,17967000.0
104,8626100.0,47146700.0,15857000.0
105,11126300.0,70464300.0,23434900.0
106,13741100.0,33592300.0,14109100.0
107,9598200.0,26211500.0,13832800.0
108,10393500.0,24216500.0,12074900.0
109,8671500.0,30445200.0,14395600.0
110,8484500.0,17186100.0,15459500.0
111,10615900.0,17237700.0,14394200.0
112,10896400.0,43018100.0,15295600.0
113,10299500.0,26616400.0,16054100.0
114,8555900.0,23183700.0,15966600.0
115,11409300.0,22835900.0,16008200.0
116,13099100.0,27618600.0,16531400.0
117,9930700.0,29598500.0,16484600.0
118,10594500.0,35012200.0,20915200.0
119,8944600.0,28754000.0,13408600.0
120,10974500.0,23797400.0,15146900.0
121,9847900.0,33849000.0,14064400.0
122,10658400.0,32455300.0,15078200.0
123,8459000.0,54985600.0,14578900.0
124,10644700.0,28342000.0,15494900.0
125,10929600.0,54504600.0,16319600.0
126,12564200.0,21641500.0,16969300.0
127,10612200.0,18418300.0,15507500.0
128,9184200.0,19106900.0,16226800.0
129,10192900.0,41414000.0,25462900.0
130,8540700.0,30452200.0,16369000.0
131,8334500.0,23994500.0,23932700.0
132,8633500.0,18813000.0,16367700.0
133,8714800.0,31353600.0,15372900.0
134,10457300.0,25027100.0,16305800.0
135,8711100.0,24220600.0,16109600.0
136,10608000.0,23939100.0,24846500.0
137,10811700.0,21721500.0,18268600.0
138,10590000.0,22590300.0,18595300.0
139,10703200.0,16292500.0,23516300.0
140,11377400.0,18387900.0,18211100.0
141,12320700.0,17534800.0,25049000.0
142,10288900.0,17120400.0,18127900.0
143,10907600.0,16884600.0,16880600.0
144,10548500.0,20992100.0,17304300.0
145,10537100.0,28161100.0,18083100.0
146,14900000.0,17126300.0,17169400.0
147,11044600.0,18837700.0,19971900.0
148,11006400.0,23454700.0,16658300.0
149,10035700.0,20607900.0,17582800.0
150,8511800.0,19447600.0,16899300.0
151,8671800.0,17113700.0,16597500.0
152,8523800.0,23064700.0,17212400.0
153,11002800.0,20155100.0,16573100.0
154,10772200.0,21117100.0,17041700.0
155,10433100.0,24107200.0,16520400.0
156,12413700.0,18728100.0,16905200.0
157,8940100.0,19280900.0,18705900.0
158,8099600.0,26664600.0,18016300.0
159,8874500.0,18311100.0,19069400.0
160,10703200.0,17181800.0,18655300.0
161,10356400.0,22194500.0,17780700.0
162,9034800.0,23322100.0,17899900.0
163,10490600.0,26432700.0,16762800.0
164,8390700.0,19375100.0,21862300.0
165,10500900.0,28453500.0,18650300.0
166,9119300.0,19050100.0,17124300.0
167,12256800.0,37048900.0,16180500.0
168,8913500.0,24131300.0,17590400.0
169,8267400.0,18458700.0,18105800.0
170,8354900.0,19570300.0,23251700.0
171,8629600.0,20534100.0,17014300.0
172,8773300.0,25434800.0,17179300.0
173,10534100.0,21653300.0,17802700.0
174,10697000.0,21172100.0,18772200.0
175,8573200.0,23709600.0,22556400.0
176,9763800.0,27653500.0,17483400.0
177,14863900.0,22605200.0,17013900.0
178,11815100.0,25119200.0,18798000.0
179,11157200.0,22262900.0,23129500.0
180,9959100.0,26518800.0,17706600.0
181,8477300.0,27800600.0,21442500.0
182,8519800.0,21698800.0,16732300.0
183,11498500.0,24487900.0,15882200.0
184,10515000.0,22021400.0,18190700.0
185,10076300.0,29229400.0,16619300.0
186,11560000.0,18974500.0,22844700.0
187,14110200.0,16964800.0,19719400.0
188,11229100.0,17866500.0,16585100.0
189,9975000.0,19709000.0,17038800.0
190,8973700.0,19477600.0,16593500.0
191,12564600.0,17439500.0,16474200.0
192,10416500.0,16574900.0,22189400.0
193,10874200.0,18697100.0,15266200.0
194,10453900.0,16573300.0,15331400.0
195,13546900.0,23233400.0,15182200.0
196,17506800.0,27525100.0,18123100.0
197,12277000.0,18974500.0,12158600.0
198,10148200.0,24681300.0,18578400.0
199,10695800.0,29060600.0,11859200.0
200,8668200.0,19422200.0,12131500.0
201,10471400.0,18444900.0,11566300.0
202,10950700.0,19355300.0,12135900.0
203,11098500.0,23345800.0,12746800.0
204,12093000.0,27192300.0,11989800.0
205,12928300.0,21398400.0,11650700.0
206,10860600.0,17922600.0,15597700.0
207,10447500.0,17281600.0,13199800.0
208,10563500.0,22808100.0,11746400.0
209,9026200.0,29006200.0,11978500.0
210,12962200.0,21689700.0,12863700.0
211,11077600.0,23098700.0,13271000.0
212,10142500.0,27610600.0,13678300.0
213,12927300.0,25646400.0,14994100.0
214,14198300.0,21158600.0,15384300.0
215,8638800.0,17770200.0,12869400.0
216,10740800.0,31433500.0,14145600.0
217,10963800.0,24484100.0,12821800.0
218,10367500.0,23087800.0,12018100.0
219,13768500.0,21476800.0,15197500.0
220,11842100.0,18578600.0,12568800.0
221,10628600.0,17913400.0,13728200.0
222,13072400.0,40670100.0,16309900.0
223,12403500.0,20715900.0,18006700.0
224,11057700.0,32056400.0,18422600.0
225,11251700.0,19394500.0,22294900.0
226,9717800.0,29772200.0,39968900.0
227,11141000.0,20012700.0,19027500.0
228,10767000.0,26914300.0,16236000.0
229,10235100.0,38398800.0,17376300.0
230,8439300.0,18967200.0,18593400.0
231,9060800.0,17255600.0,16727800.0
232,8019200.0,19404500.0,24468700.0
233,10966100.0,23711100.0,18392800.0
234,8237700.0,24024400.0,18794000.0
235,8664600.0,20551000.0,22065400.0
236,10812600.0,18983500.0,16545400.0
237,8456600.0,27638100.0,24152900.0
238,8457100.0,19624700.0,19755600.0
239,8557500.0,22180600.0,20587700.0
240,10824700.0,29383000.0,20607800.0
241,8543200.0,21461900.0,16155600.0
242,10571800.0,25337200.0,18694200.0
243,8429800.0,27810600.0,15910900.0
244,10713000.0,21148700.0,15428200.0
245,8331700.0,20789000.0,15658600.0
246,8717400.0,23636400.0,16205300.0
247,8746400.0,20032500.0,15898800.0
248,8354700.0,24233100.0,18528100.0
249,8382700.0,18779800.0,24020600.0
250,8882300.0,19230100.0,17676700.0
251,10504100.0,18342100.0,18177500.0
252,8353300.0,21005800.0,17878300.0
253,8611800.0,27234600.0,22310500.0
254,10880600.0,26696400.0,17187400.0
255,10493700.0,19952200.0,15980500.0
256,8822000.0,19026000.0,16635500.0
257,8472200.0,27302000.0,17079400.0
258,8412900.0,18427100.0,16208600.0
259,8349000.0,28057700.0,17631600.0
260,8610300.0,21470800.0,16431800.0
261,8703300.0,25973600.0,16436500.0
262,8595800.0,18216100.0,15816500.0
263,8530100.0,18526200.0,16417500.0
264,8066600.0,17775900.0,17006600.0
265,8685800.0,17839800.0,24623300.0
266,8669900.0,19707900.0,17021900.0
267,12975100.0,19351600.0,18080800.0
268,8545900.0,19047000.0,17957600.0
269,8379000.0,18051500.0,21679500.0
270,8495400.0,18215700.0,15800000.0
271,8583400.0,18100000.0,24547100.0
272,8530500.0,25255200.0,16349800.0
273,8354300.0,17399600.0,16522100.0
274,8644400.0,17391200.0,17413100.0
275,8526800.0,35061700.0,12071300.0
276,8525100.0,36084700.0,13844200.0
277,10681000.0,16579600.0,17798800.0
278,10700500.0,19434900.0,12774600.0
279,11039900.0,27641000.0,13057200.0
280,10492500.0,28557900.0,12197400.0
281,8851900.0,20801200.0,11173900.0
282,10300500.0,18720700.0,12937500.0
283,8238500.0,16974100.0,13114000.0
284,8946900.0,17552700.0,22096700.0
285,11327800.0,18750100.0,14816800.0
286,10141500.0,16852500.0,15087200.0
287,10311700.0,18445900.0,14123500.0
288,10687500.0,17711200.0,13733000.0
289,8962600.0,17751500.0,18776700.0
290,10182800.0,18019900.0,20542300.0
291,8750900.0,20335100.0,20994900.0
292,10708400.0,18233200.0,18068300.0
293,10805600.0,20830700.0,17914600.0
294,10401600.0,18795300.0,25217900.0
295,10746900.0,23787500.0,26924900.0
296,8479100.0,22214200.0,18246300.0
297,8412500.0,18708400.0,17668400.0
298,8540900.0,22499900.0,24239300.0
299,13140900.0,19602400.0,25451700.0
300,10254600.0,19959500.0,22214100.0
301,11817500.0,25418300.0,20875400.0
302,12400700.0,20772300.0,19012800.0
303,10577800.0,20916700.0,18009600.0
304,10404200.0,23344900.0,17877600.0
305,11478200.0,21099200.0,21885700.0
306,11914400.0,25402000.0,19321100.0
307,15105900.0,19016100.0,16349800.0
308,10740100.0,20974600.0,15968600.0
309,10448100.0,20004300.0,16320500.0
310,10657000.0,18932600.0,16032400.0
311,10678500.0,19263500.0,16228800.0
312,10470600.0,20648900.0,16682200.0
313,8921600.0,18469400.0,17174900.0
314,10882700.0,26778800.0,16594700.0
315,14788500.0,19971500.0,22325900.0
316,13777600.0,26080800.0,16490500.0
317,9856300.0,21193600.0,18283500.0
318,10308000.0,23895700.0,16922500.0
319,10978100.0,18907100.0,16786600.0
320,10587900.0,23033900.0,17036800.0
321,10317300.0,18153200.0,19756700.0
322,8462000.0,28231100.0,16149000.0
323,11204500.0,21380500.0,21410200.0
324,10375900.0,18975400.0,16767700.0
325,11011000.0,24280700.0,17574600.0
326,12989700.0,18317200.0,16638300.0
327,12492800.0,17200700.0,17234200.0
328,10521100.0,16896200.0,19372800.0
329,10872600.0,16939500.0,17181300.0
330,10423500.0,21552500.0,16284800.0
331,10929200.0,19411400.0,16443700.0
332,10474000.0,17527500.0,16247700.0
333,10639000.0,17550900.0,16150900.0
334,10688000.0,19787300.0,19575600.0
335,15533700.0,20017100.0,16768800.0
336,10062500.0,18390100.0,16226800.0
337,10888600.0,17629500.0,16013700.0
338,10370800.0,17176400.0,14985700.0
339,11373100.0,20006500.0,16284600.0
340,9789200.0,17764400.0,14827700.0
341,8560100.0,20708600.0,17652400.0
342,10914300.0,17855400.0,15846600.0
343,12695500.0,18075100.0,15775400.0
344,14379200.0,18307700.0,16744600.0
345,8916500.0,20773400.0,23656700.0
346,10866500.0,18268800.0,17994300.0
347,10900100.0,20467100.0,13610900.0
348,10406400.0,18629600.0,11296300.0
349,11589800.0,18507000.0,12793200.0
350,10590200.0,18597900.0,11459200.0
351,9679900.0,20451400.0,10696400.0
352,11105600.0,22532000.0,13277700.0
353,10495200.0,17547900.0,12376700.0
354,9638600.0,17535500.0,11545500.0
355,9683400.0,17731800.0,16449900.0
356,10616700.0,19606000.0,12533700.0
357,10550300.0,21865900.0,11583100.0
358,11079500.0,22578000.0,11676400.0
359,10248100.0,20552300.0,10833400.0
360,11400500.0,17392500.0,11191200.0
361,9830000.0,20208800.0,24177800.0
362,12643800.0,24580300.0,16868200.0
363,8797100.0,19791700.0,10507400.0
364,12845000.0,34413800.0,10315800.0
365,10571400.0,16868600.0,12383800.0
366,10684200.0,20235200.0,10874900.0
367,10748100.0,25445900.0,12919600.0
368,11702700.0,17469200.0,11537000.0
369,11816300.0,21326700.0,32120000.0
370,10820200.0,24930200.0,10346200.0
371,10591700.0,20582200.0,10317200.0
372,10672900.0,20782000.0,10905100.0
373,10494700.0,19061300.0,16096300.0
374,11715900.0,18617000.0,16426200.0
375,11777900.0,20676700.0,16508900.0
376,10808900.0,60414200.0,20944600.0
377,10734900.0,18172300.0,14975800.0
378,12928400.0,24317500.0,15416100.0
379,10444900.0,23637500.0,15804100.0
380,10377300.0,17170500.0,17650900.0
381,11251600.0,18700200.0,15801400.0
382,10839600.0,18269100.0,23090200.0
383,10177500.0,16661900.0,9917800.0
384,11120500.0,29863000.0,11924400.0
385,10404200.0,26580300.0,10591000.0
386,8284100.0,21290200.0,11074600.0
387,8493500.0,24127500.0,10775600.0
388,10957400.0,19861100.0,12686300.0
389,10685200.0,22068500.0,12092900.0
390,10425300.0,18140500.0,12795600.0
391,9197800.0,17547300.0,14272900.0
392,12639100.0,46254600.0,16990900.0
393,10208200.0,21726600.0,15515500.0
394,11520600.0,17645200.0,14581100.0
395,9896300.0,17366100.0,15030700.0
396,10929300.0,21124300.0,15450500.0
397,10331100.0,20924400.0,18090500.0
398,11131200.0,24535300.0,16852200.0
399,10516000.0,17830200.0,16100500.0
400,11574400.0,61328000.0,15203900.0
401,9450000.0,21450500.0,14658800.0
402,15095700.0,33764100.0,14687200.0
403,10354700.0,18380500.0,15256000.0
404,10988000.0,20499500.0,16817200.0
405,10496400.0,24065500.0,15116800.0
406,10615400.0,18384700.0,15442400.0
407,10927600.0,61223000.0,15185300.0
408,10894100.0,24034100.0,14965800.0
409,10480500.0,20563600.0,15767800.0
410,11366800.0,19268900.0,22531700.0
411,11914900.0,20591100.0,12082200.0
412,8518800.0,17569900.0,10653300.0
413,11160200.0,21501000.0,11130500.0
414,10430100.0,63307900.0,10502100.0
415,11042100.0,18662800.0,16828800.0
416,9957700.0,23883200.0,14286600.0
417,11303500.0,23317800.0,15035300.0
418,10645700.0,23039000.0,24206800.0
419,10275500.0,22550000.0,15363100.0
420,8596800.0,25379200.0,15408000.0
421,10692600.0,65035900.0,15078300.0
422,11125600.0,19926900.0,60625500.0
423,10364100.0,20113800.0,11684300.0
424,10676600.0,20133700.0,10450500.0
425,10564400.0,18131100.0,10575800.0
426,11074600.0,19905500.0,11151600.0
427,10130900.0,19352000.0,16849000.0
428,10985200.0,68518300.0,14958100.0
429,10391300.0,18327200.0,16467500.0
430,15176200.0,21241400.0,18624800.0
431,10597500.0,24648800.0,16711400.0
432,10613500.0,18034400.0,15194100.0
433,10699500.0,20130500.0,19112000.0
434,10375500.0,16930200.0,15366800.0
435,10925200.0,21259900.0,16049000.0
436,8122900.0,22595100.0,15409200.0
437,11676000.0,67153900.0,14380100.0
438,11371900.0,21037600.0,14076300.0
439,9380800.0,23703600.0,14622500.0
440,12415800.0,25564700.0,15921000.0
441,8657700.0,20330900.0,19555500.0
442,8515100.0,27968800.0,18435700.0
443,8376100.0,65222100.0,14998800.0
444,8971800.0,22173100.0,14319800.0
445,8208300.0,26777800.0,16403400.0
446,8808500.0,32749300.0,14682900.0
447,8367300.0,22664500.0,14476500.0
448,8262200.0,24804300.0,17791300.0
449,8657300.0,19801700.0,14843300.0
450,10850800.0,64621700.0,14650800.0
451,13006700.0,17973000.0,14146700.0
452,10537200.0,16657300.0,14946600.0
453,10671500.0,20485300.0,15074700.0
454,10750100.0,16859900.0,20182300.0
455,10607500.0,28502300.0,20569400.0
456,10515400.0,28424400.0,14893000.0
457,12888000.0,133016200.0,23455500.0
458,10539400.0,17581700.0,18969000.0
459,8500600.0,17369900.0,15423200.0
460,11045700.0,16871700.0,23162000.0
461,10529700.0,19096300.0,15450300.0
462,10878700.0,28886000.0,15688000.0
463,10780000.0,17934000.0,15105800.0
464,10402800.0,17473900.0,16272800.0
465,10815200.0,131307300.0,16207900.0
466,10913400.0,18402000.0,22075700.0
467,10194100.0,21403000.0,15775600.0
468,11244600.0,17561200.0,14778300.0
469,10007500.0,22930500.0,23663300.0
470,11042800.0,21203800.0,16506100.0
471,10966800.0,32293400.0,23600300.0
472,9989600.0,135409400.0,19511400.0
473,8705200.0,31160300.0,17272300.0
474,11284400.0,36744200.0,14535000.0
475,10141000.0,27167700.0,14484700.0
476,10654100.0,27792000.0,14374900.0
477,10885100.0,130544400.0,20136500.0
478,10957300.0,22101000.0,18385300.0
479,16811300.0,21064600.0,15183100.0
480,10462100.0,22935000.0,14792400.0
481,10832300.0,21796400.0,15007200.0
482,10608100.0,20139600.0,15261500.0
483,10599100.0,20652400.0,14778600.0
484,10737100.0,18057000.0,19294400.0
485,10964400.0,129104300.0,15677200.0
486,13054600.0,24072300.0,16178700.0
487,9667500.0,17236600.0,17904900.0
488,17959900.0,26730900.0,16112800.0
489,11020100.0,18280400.0,15480300.0
490,9805600.0,18805700.0,20106800.0
491,8539300.0,25937100.0,15336800.0
492,10840100.0,133277900.0,14693600.0
493,10399300.0,18408900.0,16361600.0
494,8378600.0,22301300.0,17044300.0
495,11024000.0,36374900.0,16112900.0
496,12955900.0,30154600.0,19697800.0
497,14200400.0,23164900.0,14848200.0
498,11193900.0,140206800.0,15272300.0
499,10734200.0,17299200.0,15452800.0
500,8353200.0,22732700.0,14837300.0
501,11017900.0,17894800.0,15036000.0
502,10237200.0,17883600.0,21116600.0
503,8889500.0,22739500.0,14478700.0
504,10592900.0,18586900.0,15094600.0
505,10518800.0,136271000.0,14959400.0
506,10629800.0,17560900.0,14915600.0
507,13299100.0,18381100.0,15061400.0
508,10276900.0,20693700.0,14827000.0
509,10736600.0,21365300.0,19303300.0
510,10223300.0,20890400.0,14619000.0
511,8687500.0,17753600.0,14998300.0
512,8990900.0,18943600.0,14532300.0
513,10773200.0,131798600.0,15028000.0
514,10566800.0,25224800.0,14552700.0
515,10339500.0,17920900.0,21825900.0
516,10423400.0,36789500.0,18171900.0
517,9305900.0,27664600.0,14844200.0
518,10481100.0,25794700.0,15193700.0
519,10347300.0,144060900.0,15772200.0
520,10975200.0,19250100.0,15973000.0
521,10856900.0,17932600.0,27543500.0
522,10952600.0,20130900.0,14476000.0
523,10525300.0,17552000.0,14896600.0
524,10092600.0,23523000.0,15066200.0
525,12933300.0,24865600.0,14476700.0
526,23027800.0,135199800.0,15982300.0
527,16778600.0,17196800.0,17484200.0
528,13380800.0,17520500.0,20598000.0
529,13456100.0,18800500.0,15417700.0
530,12334800.0,20719200.0,15577700.0
531,10643400.0,19763300.0,16139000.0
532,17836300.0,19243900.0,15120900.0
533,14838800.0,18164800.0,15335400.0
534,14588900.0,17638600.0,26310000.0
535,13050100.0,141797600.0,14380800.0
536,12408300.0,19823800.0,15700900.0
537,12524100.0,34243200.0,15716800.0
538,12803500.0,23226500.0,14242800.0
539,10764500.0,37356200.0,15634600.0
540,10780700.0,137762000.0,23482900.0
541,10459300.0,18589900.0,15112400.0
542,8677500.0,21748900.0,14826800.0
543,10803000.0,22448900.0,14624100.0
544,10669200.0,18215600.0,14860100.0
545,10944000.0,20205700.0,14415700.0
546,10186400.0,19363000.0,20631200.0
547,8833900.0,18395300.0,17575500.0
548,10295900.0,144246900.0,14995300.0
549,10984500.0,21943200.0,14985500.0
550,10491100.0,20036300.0,22839700.0
551,12572400.0,20074800.0,14759300.0
552,8523500.0,19169800.0,22675000.0
553,8595100.0,26534500.0,14581800.0
554,10923900.0,135553900.0,15648900.0
555,10561200.0,19376900.0,15246600.0
556,8548700.0,17583100.0,16942000.0
557,10781500.0,25566000.0,14626000.0
558,10686800.0,23742800.0,19230700.0
559,10523700.0,25593600.0,15330000.0
560,11486400.0,27591800.0,15151800.0
561,14742000.0,139352300.0,15305800.0
562,11014000.0,17940300.0,23191000.0
563,9717500.0,18495600.0,14788100.0
564,10817200.0,20490400.0,15613700.0
565,10583200.0,23143700.0,14520100.0
566,10895600.0,18957600.0,14720200.0
567,10544900.0,18181400.0,15653900.0
568,10606500.0,18656600.0,16058300.0
569,10587700.0,132587900.0,15878300.0
570,18097400.0,24577500.0,15752400.0
571,12381800.0,19714300.0,23032400.0
572,10944300.0,17680600.0,16097100.0
573,9647900.0,20098000.0,15434800.0
574,8483100.0,17450300.0,14705100.0
575,10938600.0,25755900.0,15257600.0
576,11077200.0,130993200.0,15514600.0
577,10305500.0,19727600.0,16575300.0
578,11406500.0,23975300.0,15223100.0
579,13550800.0,25107800.0,16272100.0
580,11348500.0,215701700.0,15190400.0
581,8275100.0,26818100.0,14710100.0
582,8452400.0,26224100.0,15108100.0
583,10697000.0,23097500.0,20919700.0
584,8628800.0,22946200.0,21419300.0
585,8530300.0,18332400.0,17315100.0
586,8596300.0,131909100.0,14992000.0
587,10660900.0,25918400.0,20175200.0
588,13367200.0,20384300.0,16288600.0
589,15541000.0,21528900.0,16470800.0
590,10636000.0,18247400.0,14866700.0
591,12058900.0,17884700.0,15090300.0
592,12704500.0,34352200.0,16118800.0
593,10600200.0,136805400.0,17924900.0
594,8553400.0,17706100.0,11837000.0
595,10747300.0,43113700.0,23129200.0
596,11341700.0,22896600.0,9391100.0
597,10443700.0,18102300.0,10247100.0
598,14457200.0,17967100.0,11179000.0
599,11660000.0,20405600.0,13828900.0
600,9688500.0,143448300.0,16166500.0
601,10944300.0,24637200.0,14535100.0
602,10763900.0,24864500.0,14640900.0
603,10254700.0,21671800.0,24576900.0
604,12870700.0,21464200.0,15229800.0
605,12998900.0,23610800.0,15200400.0
606,12308900.0,131741500.0,16778000.0
607,10563400.0,23051600.0,15244900.0
608,11166900.0,26938800.0,16645900.0
609,10267200.0,23239900.0,21678900.0
610,10629100.0,16616700.0,15911500.0
611,11017000.0,16689500.0,15265000.0
612,10300800.0,17044500.0,15947400.0
613,8789100.0,17636300.0,16405500.0
614,10762400.0,140175400.0,15521800.0
615,8402700.0,17939700.0,22670300.0
616,10769100.0,19859500.0,23486600.0
617,12622000.0,20719500.0,17366900.0
618,10867200.0,201070800.0,15928700.0
619,10504200.0,29118300.0,14933600.0
620,8266800.0,23253000.0,18740200.0
621,8741200.0,24405500.0,15298800.0
622,8700700.0,28200700.0,16496800.0
623,10813800.0,26843400.0,14747700.0
624,10694600.0,134604000.0,16129400.0
625,10432500.0,19823300.0,15449200.0
626,10609900.0,21209600.0,14201500.0
627,8839500.0,20433200.0,24318100.0
628,11065200.0,23789300.0,16014900.0
629,10539900.0,279692000.0,16524100.0
630,10189400.0,961823900.0,28922600.0
631,8207700.0,33000900.0,12780600.0
632,10815200.0,25503500.0,13890900.0
633,9578700.0,33498400.0,12828800.0
634,9861200.0,24084900.0,11250700.0
635,8261300.0,19854900.0,10043600.0
636,9511400.0,18108700.0,17633900.0
637,7745400.0,24470500.0,14972000.0
638,12756200.0,22289900.0,14747300.0
639,8481500.0,18775600.0,18831600.0
640,8361500.0,18870300.0,16884200.0
641,8912800.0,18745500.0,15370800.0
642,8343300.0,25537300.0,16699800.0
643,8629000.0,19364700.0,17203100.0
644,8423900.0,19765500.0,18426500.0
645,11011400.0,20273100.0,21506500.0
646,11631300.0,20284800.0,17867700.0
647,9876300.0,30860600.0,15830900.0
648,10231500.0,24724700.0,14703800.0
649,10750500.0,18440800.0,17248600.0
650,8447300.0,20172800.0,15264400.0
651,8440000.0,17780000.0,17668700.0
652,10678100.0,24105200.0,15717600.0
653,8567900.0,19459500.0,16473800.0
654,11213900.0,18692600.0,15233500.0
655,10354500.0,18986900.0,16904400.0
656,11179900.0,18744800.0,16626100.0
657,13180100.0,19507500.0,14671400.0
658,13413200.0,17373700.0,24321100.0
659,11223100.0,17597300.0,18539200.0
660,10736100.0,27309500.0,16815400.0
661,10533000.0,33219600.0,17255100.0
662,11265600.0,20357200.0,19868500.0
663,11377900.0,20307200.0,15689100.0
664,13814100.0,19044900.0,17111300.0
665,15103000.0,19879200.0,15826000.0
666,22324500.0,26214900.0,16042600.0
667,11822700.0,20516200.0,16601300.0
668,11173800.0,20907900.0,17168700.0
669,9946400.0,22116500.0,18705700.0
670,11514300.0,17388000.0,19939300.0
671,11130700.0,23000100.0,18137300.0
672,12560100.0,19050400.0,19453500.0
673,16319900.0,19351900.0,16291200.0
674,13238900.0,31323500.0,17854600.0
675,10122700.0,27539500.0,16435200.0
676,8480700.0,18064700.0,15920300.0
677,8701500.0,18508200.0,15129200.0
678,10801000.0,19099900.0,16489400.0
679,12847200.0,23001800.0,18400000.0
680,10270800.0,20487600.0,16843200.0
681,11528700.0,25985100.0,15591900.0
682,15384300.0,18221700.0,16394300.0
683,13979700.0,18207700.0,15769400.0
684,10940300.0,19077900.0,16188700.0
685,12303300.0,22013900.0,16615300.0
686,10633700.0,25183600.0,16920600.0
687,10982400.0,17991400.0,23474900.0
688,10816500.0,17926100.0,17120800.0
689,10026500.0,18569600.0,15316900.0
690,11362400.0,21895400.0,21170400.0
691,10136400.0,18053100.0,22631000.0
692,15224300.0,17267100.0,22833700.0
693,10507600.0,17917200.0,20132900.0
694,10313700.0,17440700.0,19671800.0
695,8461800.0,18102900.0,17410800.0
696,8642700.0,27519700.0,18591600.0
697,10950200.0,23127600.0,24450300.0
